name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
BASF PHARMA (CALLANISH) LTD,123298.8,937477.1,From Data Source,10025450003,Potential,Potential,Unknown,Cooling Towers
House O'Hill,397560,859107,From Data Source,,Operational,Actual,Large (1MW+),Wind
Strathmill Distillery,231225.5,780783.5,From Data Source,10025435580,Potential,Potential,Unknown,Water Source Heat Pump
Glendullan Distillery,232592.7,757811.1,From Data Source,10025432680,Potential,Potential,Unknown,Water Source Heat Pump
Talisker Distillery,234005.5,727646.5,From Data Source,10025447437,Potential,Potential,Unknown,Water Source Heat Pump
Bladnoch Distillery,236498.4,667004.9,From Data Source,10025429324,Potential,Potential,Unknown,Water Source Heat Pump
Glen Ord Distillery,239905.5,680393.8,From Data Source,10015325052,Potential,Potential,Unknown,Water Source Heat Pump
Glenrothes Distillery,242474.3,661222.5,From Data Source,10025430135,Potential,Potential,Unknown,Water Source Heat Pump
Clynelish Distillery,243993.8,744012.7,From Data Source,10024701624,Potential,Potential,Unknown,Water Source Heat Pump
Glen Spey Distillery,244977.7,683617.9,From Data Source,10024709853,Potential,Potential,Unknown,Water Source Heat Pump
