name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
Little Byth,382764,857480,From Data Source,,Operational,Actual,Large (1MW+),Wind
Yonderton Farm,403588,837834,From Data Source,,Operational,Actual,Large (1MW+),Wind
Glenlee,260500,580465,Manually Added,,Operational,Actual,Large (1MW+),Hydro
North Yell Wind Farm,454471,1198506,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glenurquhart and Strathglass Wind Farm project,234250,824290,From Data Source,,Operational,Actual,Large (1MW+),Wind
Damhead Farm,279061,663992,From Data Source,,Operational,Actual,Large (1MW+),Wind
AG Barr Factory wind turbine,271488,672545,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Evie Wind Energy Project,335035,1025025,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Wathegar wind farm,328540,950761,From Data Source,,Operational,Actual,Large (1MW+),Wind
Allt Dearg Wind Farmers LLP,182893,676616,From Data Source,,Operational,Actual,Large (1MW+),Wind
Forgue,322934,858587,From Data Source,,Potential,Potential,Unknown,Cooling Towers
Kendoon,260517,587638,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Cour Wind Farm,181005,648528,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Upper Wheedlemont Farm,347391,826203,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Shielburn Farm,367618,845637,From Data Source,,Operational,Actual,Large (1MW+),Wind
Beinneun,220442,804419,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Akla,334769,1007788,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Tongland,269552,553617,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Torrance Farm,290842,665671,From Data Source,,Operational,Actual,Large (1MW+),Wind
Land at Overside and Greenwellheads Farms,406123,854692,From Data Source,,Operational,Actual,Large (1MW+),Wind
Myreton Crossroads,349741,856864,From Data Source,,Operational,Actual,Large (1MW+),Wind
Auchinderran Wind Farm,361419,854774,From Data Source,,Operational,Actual,Large (1MW+),Wind
Milton of Fisherie Wind Cluster,375067,859014,From Data Source,,Operational,Actual,Large (1MW+),Wind
Blantyre Muir Wind Farm,268888,651781,From Data Source,,Operational,Actual,Large (1MW+),Wind
Tummel,276358,759012,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Tullo Wind Farm North Extension (Shiels Wind Farm),375080,772580,From Data Source,,Operational,Actual,Large (1MW+),Wind
Easter Melrose Wind Energy Project,375187,863494,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Yonderton Wind Cluster,375188,855296,From Data Source,,Operational,Actual,Large (1MW+),Wind
Spurness Wind Farm Repowering,360531,1033828,From Data Source,,Operational,Actual,Large (1MW+),Wind
St Johns Wells Wind Cluster Extension,379960,836480,From Data Source,,Operational,Actual,Large (1MW+),Wind
Errochty,277267,759302,Manually Added,,Operational,Actual,Large (1MW+),Hydro
GlaxoSmithKline Wind Project,234144,636959,From Data Source,,Operational,Actual,Large (1MW+),Wind
Skeddoway Farm Wind Turbine,328104,697699,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Coire Na Cloiche Wind Farm,258937,878023,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Ardoch and Over Enoch Wind Farm (Over Enoch),258600,648600,From Data Source,,Operational,Actual,Large (1MW+),Wind
NEILSTON WIND FARM,245292,653952,From Data Source,,Operational,Actual,Large (1MW+),Wind
Stonebyres,285019,644155,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Poniel Wind Turbines,284063,633619,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Muirhall Extension,299342,652838,From Data Source,,Operational,Actual,Large (1MW+),Wind
Bonnington,288419,641663,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Freasdail Wind Farm,182440,659197,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Govals Wind Farm,341760,743783,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Druim Leathann Wind Farm,151276,946709,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Work Farm Wind Turbines,347667,1012871,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Muaitheabhal Wind Farm (Southern Extension),128788,911062,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Barns of Ayre Wind Turbines (2),358890,1004047,From Data Source,,Operational,Actual,Large (1MW+),Wind
Clunie,291268,759776,Manually Added,,Operational,Actual,Large (1MW+),Hydro
Rumster Forest Community Wind Farm,320706,940695,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission),363363,828345,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Culterfield Windfarm,442762,1129706,From Data Source,,Planning Permission Expired,Potential,Large (1MW+),Wind
LADEHEAD FARM - WIND TURBINES,279142,641223,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
West Garty Windfarm (resubmission),294780,915304,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Longannet,295128,685450,Manually Added,,Operational,Actual,Large (1MW+),Thermal Power
Hill of Carlincraig wind turbines,368325,844794,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Ardoch and Over Enoch Wind Farm (Ardoch),258534,649697,From Data Source,,Operational,Actual,Large (1MW+),Wind
Melness,256500,962000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Druim Fada,207500,780500,From Data Source,,Planning Permission Expired,Potential,Large (1MW+),Wind
Rothes Wind Farm (Extension),318500,850500,From Data Source,,Operational,Actual,Large (1MW+),Wind
